Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
515,I am a developer by profession,Yes,22.0,14,Monthly,25272.0,Poland,Polish zloty,PLN,,Microsoft SQL Server,"Designer;Developer, front-end;Developer, full-stack;Educator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",Very satisfied,I am not interested in new job opportunities,HTML/CSS;JavaScript;Python;TypeScript,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Kotlin;Python;SQL;TypeScript,Node.js,.NET;.NET Core,Github;Gitlab;Slack,Confluence;Jira;Github;Gitlab;Slack,No,Somewhat important,Somewhat important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company",Every few months,No,Yes,Yes,Rarely: 1-2 days per year or less,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Linux-based,20 to 99 employees,Linux;MacOS;Windows,Android;Linux;MacOS;Windows,I have little or no influence,Bisexual,Yes,"No, not really",A few times per month or weekly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Django;Express;Gatsby;Vue.js,Angular;ASP.NET;ASP.NET Core,Just as welcome now as I felt last year,40.0,4,2
516,I am a developer by profession,Yes,34.0,7,Monthly,14796.0,Argentina,Argentine peso,ARS,Microsoft SQL Server,Microsoft SQL Server;SQLite,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Product manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Hispanic or Latino/a/x,Man,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,Slightly satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;C#;Java;JavaScript;SQL,Bash/Shell/PowerShell;C#;JavaScript;Python;SQL,.NET;.NET Core;Node.js;React Native;Unity 3D;Unreal Engine;Xamarin,.NET;.NET Core,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Very important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,No,No,Yes,Rarely: 1-2 days per year or less,,Indifferent,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Windows,20 to 99 employees,Android;Arduino;Heroku;Microsoft Azure;Raspberry Pi,Raspberry Pi,I have little or no influence,Straight / Heterosexual,No,Neutral,,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular.js;ASP.NET;ASP.NET Core;jQuery;React.js,ASP.NET;ASP.NET Core;jQuery,Just as welcome now as I felt last year,40.0,19,14
517,I am a developer by profession,No,30.0,22,Yearly,71494.0,Canada,Canadian dollar,CAD,,PostgreSQL,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Woman,Flex time or a flexible schedule;Specific department or team I’d be working on;Remote work options,Very satisfied,I am not interested in new job opportunities,Java;Kotlin,Bash/Shell/PowerShell;C#;Go;Java;Kotlin;Python;SQL,,.NET Core,Github;Slack,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",Yes,Neutral,Somewhat important,Better compensation;Trouble with leadership at my company;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Directly asking current or past employees at the company",Once a year,Not sure,Yes,No,Rarely: 1-2 days per year or less,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,20 to 99 employees,Android,Android,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,ASP.NET Core,Just as welcome now as I felt last year,36.0,8,6
518,I am a developer by profession,Yes,27.0,26,Weekly,48950.0,Canada,Canadian dollar,CAD,,,Data scientist or machine learning specialist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,Industry that I’d be working in;Flex time or a flexible schedule;Opportunities for professional development,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Python,Python,Apache Spark;Hadoop;Keras;Pandas;TensorFlow;Torch/PyTorch,Keras;Pandas;TensorFlow;Torch/PyTorch,Confluence;Jira;Github,Confluence;Jira;Github;Slack;Microsoft Teams,Not sure,,Somewhat important,Better compensation,"Company reviews from third party sites (e.g. Glassdoor, Blind)",Once a year,Not sure,Yes,No,Never,,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Windows,"10,000 or more employees",,,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,,Just as welcome now as I felt last year,35.0,1,Less than 1 year
519,I am a developer by profession,No,35.0,23,,,Russian Federation,Russian ruble,RUB,,PostgreSQL,"Developer, back-end;Developer, QA or test","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,,,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Java,Bash/Shell/PowerShell;Java;Python;SQL,,,Confluence;Jira;Github,Confluence;Jira;Github;Slack,No,Neutral,Very important,Curious about other opportunities;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,No,Yes,Yes,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,20 to 99 employees,Linux;Windows,Android;Linux;MacOS;Windows,I have some influence,,Yes,Neutral,Multiple times per day,Multiple times per day,Easy,Appropriate in length,,Mathematics or statistics,,,Just as welcome now as I felt last year,40.0,33,33
520,I am a developer by profession,No,35.0,19,Monthly,25656.0,Iran,Iranian rial,IRR,Microsoft SQL Server,Elasticsearch;Microsoft SQL Server,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Middle Eastern,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Very dissatisfied,I am not interested in new job opportunities,C#;HTML/CSS;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,.NET;.NET Core;Node.js,.NET;.NET Core;Node.js,Jira;Microsoft Azure,Jira;Github;Gitlab;Microsoft Azure;Trello,Yes,Extremely important,Very important,Better compensation;Trouble with my direct manager;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,No,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,"1,000 to 4,999 employees",Microsoft Azure;Windows,Microsoft Azure;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per week,Daily or almost daily,Neither easy nor difficult,Too long,Yes,"Computer science, computer engineering, or software engineering",Angular;ASP.NET Core;jQuery,Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery,Just as welcome now as I felt last year,39.0,8,4
521,I am a developer by profession,Yes,36.0,14,Yearly,156500.0,United States,United States dollar,USD,DynamoDB;Elasticsearch;MariaDB;Microsoft SQL Server;PostgreSQL;Redis,MariaDB;Microsoft SQL Server;MySQL;Redis,"Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",Very satisfied,I am actively looking for a job,C#;Go;JavaScript;Kotlin;Python;TypeScript,C#;HTML/CSS;JavaScript;PHP;Python;SQL,.NET Core;Node.js;TensorFlow;Teraform,.NET;.NET Core;Node.js,Github;Slack;Microsoft Teams;Microsoft Azure,"Confluence;Jira;Github;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",No,Somewhat important,Not at all important/not necessary,Curious about other opportunities;Trouble with my direct manager;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Once a year,Yes,No,Yes,Rarely: 1-2 days per year or less,,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow,Windows,100 to 499 employees,AWS;Docker;Kubernetes;Linux;MacOS;Microsoft Azure;Slack Apps and Integrations;Windows,AWS;Linux;Microsoft Azure;Slack Apps and Integrations;Windows,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Information systems, information technology, or system administration",ASP.NET Core;Django;Express;Flask;jQuery;React.js;Vue.js,ASP.NET;ASP.NET Core;jQuery;Laravel;Vue.js,Somewhat less welcome now than last year,40.0,22,18
522,"I used to be a developer by profession, but no longer am",Yes,60.0,16,,,United States,United States dollar,,,,,"Professional degree (JD, MD, etc.)",Retired,White or of European descent,Man,,,,Go;Haskell;HTML/CSS;Rust;TypeScript,Go;Haskell;HTML/CSS;JavaScript;TypeScript,Flutter;TensorFlow,,Github;Slack,Github;Slack,,,Critically important,,,Every few months,No,,Yes,,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Amused,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos,Linux-based,,Arduino;Linux;Windows,Linux,,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,React.js,Just as welcome now as I felt last year,,44,
523,I am a developer by profession,Yes,15.0,11,,,Iran,United States dollar,,Firebase;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Firebase;MariaDB;MySQL;PostgreSQL;SQLite,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,Middle Eastern,Man,,,"I’m not actively looking, but I am open to new opportunities",Assembly;Bash/Shell/PowerShell;C;C++;Dart;Go;Java;PHP;Python;SQL;Swift,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;PHP;Python;SQL,Apache Spark;Flutter;TensorFlow,Apache Spark;TensorFlow;Unity 3D,Github;Gitlab;Slack,Github;Gitlab,,,,Curious about other opportunities;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,Not sure,,No,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Linux-based,,Android;Arduino;AWS;Docker;Google Cloud Platform;IBM Cloud or Watson;iOS;Linux;MacOS;Raspberry Pi;Slack Apps and Integrations,Android;Arduino;Google Cloud Platform;IBM Cloud or Watson;iOS;Linux;MacOS;Raspberry Pi;Windows,,Straight / Heterosexual,Yes,"No, not at all",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,,Django;Laravel;Spring,Django,Somewhat more welcome now than last year,,4,
524,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,23.0,16,,,India,United States dollar,,DynamoDB;Firebase;MongoDB;MySQL;PostgreSQL;SQLite,MySQL;SQLite,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,,Man,Remote work options,,"I’m not actively looking, but I am open to new opportunities",C;C++;Dart;Go;HTML/CSS;JavaScript;PHP;Python;SQL,C++;HTML/CSS;JavaScript;PHP;Python;SQL,Cordova;Flutter;Node.js;Pandas;TensorFlow;Torch/PyTorch,,Github;Gitlab,Github;Gitlab,,,,Just because,"Read company media, such as employee blogs or company culture videos",Once every few years,No,,Yes,,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow,Linux-based,,Android;Arduino;AWS;Docker;Heroku;Linux;MacOS;Microsoft Azure;Raspberry Pi,Arduino;Heroku;Linux;Microsoft Azure;Raspberry Pi,,Bisexual,Yes,"Yes, definitely",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,,Django;Express;Gatsby;jQuery;Laravel;React.js,Django;jQuery,A lot more welcome now than last year,,5,
525,I am a developer by profession,No,34.0,26,,,United Kingdom,Pound sterling,GBP,,PostgreSQL;SQLite,Scientist,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,White or of European descent,Man,Industry that I’d be working in;Remote work options;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Python,Bash/Shell/PowerShell;Python;R;SQL;VBA,Pandas;Torch/PyTorch,,Jira,Confluence;Gitlab,No,Somewhat important,Fairly important,Better compensation;Better work/life balance;Wanting to work with new technologies,"Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,No,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Read ratings or reviews on third party sites like G2Crowd,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Linux-based,100 to 499 employees,,AWS;Linux,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Daily or almost daily,Easy,Appropriate in length,No,"A natural science (such as biology, chemistry, physics, etc.)",,,Just as welcome now as I felt last year,40.0,8,3
526,I am a developer by profession,Yes,40.0,7,Yearly,175000.0,United States,United States dollar,USD,DynamoDB;MySQL;PostgreSQL;Redis;SQLite,DynamoDB;Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,"Data or business analyst;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, QA or test;Engineering manager;System administrator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,,,Diversity of the company or organization;Flex time or a flexible schedule;Office environment or company culture,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;JavaScript;PHP;SQL,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Perl;PHP;SQL,,Apache Spark,Github;Slack;Trello,"Confluence;Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Very important,Curious about other opportunities;Better compensation;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Yes,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Meditate;Visit Stack Overflow;Do other work and come back later,Linux-based,20 to 99 employees,AWS;Docker;Linux;MacOS;Microsoft Azure;Windows,Android;AWS;Docker;iOS;Kubernetes;Linux;MacOS;Windows,I have a great deal of influence,,Yes,"Yes, somewhat",Multiple times per day,Multiple times per day,Neither easy nor difficult,Appropriate in length,,"Computer science, computer engineering, or software engineering",Laravel;Symfony;Vue.js,Laravel;Symfony;Vue.js,Just as welcome now as I felt last year,36.0,35,20
527,I am a developer by profession,No,31.0,13,Yearly,98000.0,United States,United States dollar,USD,,,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",TypeScript,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Perl,,,,"Confluence;Jira;Github;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Fairly important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,Not sure,Yes,Yes,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Go for a walk or other physical activity;Do other work and come back later,MacOS,"5,000 to 9,999 employees",Raspberry Pi,AWS;Docker,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Vue.js,Gatsby;React.js,Just as welcome now as I felt last year,35.0,14,10
528,I am a developer by profession,Yes,25.0,17,Monthly,12372.0,Brazil,Brazilian real,BRL,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,,"Developer, back-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",Very satisfied,"I’m not actively looking, but I am open to new opportunities",Java;JavaScript;Python;SQL,HTML/CSS;Java;Python;R;SQL,Flutter;Node.js;Pandas;React Native,Pandas,"Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Fairly important,Just because;Curious about other opportunities;Better compensation;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company",Once a year,Not sure,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,500 to 999 employees,AWS;Docker;Kubernetes;Linux;Microsoft Azure;Raspberry Pi;Windows,Arduino,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;jQuery;React.js;Spring,jQuery;Spring,Just as welcome now as I felt last year,44.0,9,7
529,I am a developer by profession,Yes,33.0,14,Monthly,45396.0,Finland,European Euro,EUR,,MySQL,"Developer, back-end;Developer, full-stack",Some college/university study without earning a degree,Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C++;Python,Bash/Shell/PowerShell;C++;HTML/CSS;JavaScript;PHP;Python;SQL,,,Github,"Github;Slack;Google Suite (Docs, Meet, etc)",No,Somewhat important,Somewhat important,Better compensation;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase)",Once a year,Not sure,Yes,No,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Meditate;Visit Stack Overflow;Do other work and come back later,Linux-based,20 to 99 employees,Docker;Linux,AWS;Docker;Google Cloud Platform;Linux,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,jQuery,Just as welcome now as I felt last year,37.0,19,10
530,I am a developer by profession,Yes,50.0,23,Yearly,140000.0,United States,United States dollar,USD,PostgreSQL,DynamoDB;PostgreSQL,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",Very satisfied,I am not interested in new job opportunities,Scala;Swift;TypeScript,HTML/CSS;JavaScript;TypeScript,Node.js;Unity 3D;Unreal Engine,Node.js;TensorFlow;Unity 3D,Confluence;Jira;Github;Gitlab,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",No,Extremely important,Not at all important/not necessary,Better compensation;Trouble with my teammates;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies,"Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,No,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,MacOS,10 to 19 employees,AWS;Linux;MacOS,AWS;Docker;Linux;MacOS,I have some influence,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Appropriate in length,No,"Fine arts or performing arts (such as graphic design, music, studio art, etc.)",Django;React.js,Django;React.js,Just as welcome now as I felt last year,45.0,25,24
531,I am a developer by profession,Yes,25.0,18,Yearly,52942.0,Canada,Canadian dollar,CAD,,,"Developer, front-end;Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,South Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",Very satisfied,I am actively looking for a job,Kotlin,Swift,,,Jira,Github;Gitlab;Facebook Workplace,Yes,Neutral,Fairly important,Wanting to share accomplishments with a wider network;Better compensation;Wanting to work with new technologies;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once every few years,Not sure,Yes,Yes,Never,,Annoyed,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Do other work and come back later,MacOS,20 to 99 employees,Android,iOS,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Information systems, information technology, or system administration",,,Just as welcome now as I felt last year,40.0,3,2
532,I am a developer by profession,Yes,33.0,12,Yearly,98000.0,United States,United States dollar,USD,DynamoDB;Elasticsearch;Microsoft SQL Server;Redis,Elasticsearch;Microsoft SQL Server;Redis,"Developer, back-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Very satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Scala;SQL;TypeScript,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,.NET;.NET Core,.NET;.NET Core,"Github;Slack;Microsoft Azure;Google Suite (Docs, Meet, etc)","Github;Slack;Microsoft Azure;Google Suite (Docs, Meet, etc)",No,Extremely important,Somewhat important,Having a bad day (or week or month) at work;Curious about other opportunities;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,No,No,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,100 to 499 employees,AWS;Docker;Linux;Windows,AWS;Docker;Linux;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,Daily or almost daily,Easy,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",ASP.NET Core;React.js,ASP.NET;ASP.NET Core;React.js,Just as welcome now as I felt last year,40.0,9,5
533,I code primarily as a hobby,Yes,37.0,8,,,Romania,United States dollar,,,,"Developer, mobile",Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",White or of European descent,Man,,,,Java;Python,Java;Python,TensorFlow,,,,,,Not at all important/not necessary,,,Once every few years,Yes,,No,,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,,Android;Google Cloud Platform;Linux;Raspberry Pi;Windows,Android;Google Cloud Platform;Linux;Raspberry Pi;Windows,,Straight / Heterosexual,Yes,"Yes, somewhat",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,No,"A social science (such as anthropology, psychology, political science, etc.)",,Flask,Somewhat more welcome now than last year,,9,
